label,pattern,replace
surface,acanceous,acanceous
surface,acantha,acantha
surface,acanthocarpus,acanthocarpus
surface,acanthocladous,acanthocladous
surface,aculeate,aculeate
surface,aculeolate,aculeolate
surface,aden,aden
surface,adenoid,adenoid
surface,adenophore,adenophore
surface,adenophyllous,adenophyllous
surface,appressed-setose,appressed-setose
surface,arachnoid,arachnoid
surface,bloom,bloom
surface,canescent,canescent
surface,carnosulous,carnosulous
surface,chartaceous,chartaceous
surface,ciliate,ciliate
surface,coriaceouse,coriaceouse
surface,cuticle,cuticle
surface,downy,downy
surface,echinate-aculeate,echinate-aculeate
surface,efoliate,efoliate
surface,eglandular,eglandular
surface,fimbriate,fimbriate
surface,fimbriolate,fimbriolate
surface,floccose,floccose
surface,glabrate,glabrate
surface,glabrous,glabrous
surface,glandular,glandular
surface,glandular-punctate,glandular-punctate
surface,glandular-setose,glandular-setose
surface,glandular-setulose,glandular-setulose
surface,glandularsetose,glandularsetose
surface,granular,granular
surface,hairy,hairy
surface,hirsute,hirsute
surface,hispid,hispid
surface,hispid-pilose,hispid-pilose
surface,hispidulous,hispid
surface,lanate,lanate
surface,lanate-tomentulose,lanate-tomentulose
surface,lepidote,lepidote
surface,membranous,membranous
surface,pallid-tomentulose,pallid-tomentulose
surface,papillate-puberulent,papillate-puberulent
surface,pilose,pilose
surface,pilosulous,pilosulous
surface,pliant,pliant
surface,prickly,prickly
surface,pubemlent,pubemlent
surface,puberulecence,puberulecence
surface,puberulent,puberulent
surface,puberulous,puberulent
surface,pubescent,pubescent
surface,retroaculeate,retroaculeate
surface,scaberulous,scabrous
surface,scabrous,scabrous
surface,scurfy,scurfy
surface,sericeous,sericeous
surface,setaculeate,setaculeate
surface,setose,setose
surface,setose-ciliate,setose-ciliate
surface,setulose,setulose
surface,silky,silky
surface,silky-canescent,silky-canescent
surface,silky-pilosulous,silky-pilosulous
surface,silky-tomentulose,silky-tomentulose
surface,smooth,smooth
surface,strigose,strigose
surface,subappressed,subappressed
surface,subappressed-strigose,strigose
surface,subglabrous,subglabrous
surface,sublustrous,sublustrous
surface,surface,surface
surface,surfaces,surface
surface,tomentose,tomentose
surface,tomentulose,tomentulose
surface,unarmed,unarmed
surface,verrucose,verrucose
surface,villose,villose
surface,villosity,villosity
surface,villosulous,villosulous
surface,villous,villose
surface,viscid,viscid
surface_leader,armed,armed
surface_leader,canescently,canescently
surface_leader,densely,densely
surface_leader,shortly,shortly
surface_leader,thinly,thinly
