label,pattern,attr,replace,suffix_term
about,about,lower,about,
about,approx,lower,about,
about,approx.,lower,about,
about,approximate,lower,about,
about,ca,lower,about,
about,ca .,lower,about,
about,ca.,lower,about,
count_word,absent,lower,0,
count_word,decamerous,lower,10,
count_word,decamery,lower,10,
count_word,dimerous,lower,2,
count_word,dimery,lower,2,
count_word,double,lower,2,
count_word,heptamerous,lower,7,
count_word,heptamery,lower,7,
count_word,hexamerous,lower,6,
count_word,hexamery,lower,6,
count_word,monomerous,lower,1,
count_word,monomery,lower,1,
count_word,nonamerous,lower,9,
count_word,nonamery,lower,9,
count_word,octamerous,lower,8,
count_word,octamery,lower,8,
count_word,pentamerous,lower,5,
count_word,pentamery,lower,5,
count_word,simple,lower,1,
count_word,single,lower,1,
count_word,tetrad,lower,4,
count_word,tetramerous,lower,4,
count_word,tetramery,lower,4,
count_word,triad,lower,3,
count_word,trimerous,lower,3,
count_word,trimery,lower,3,
count_word,triple,lower,3,
cross,×,lower,×,
cross,x,lower,x,
dim,d.b.h.,lower,dbh,
dim,dbh,lower,dbh,
dim,dia,lower,diameter,
dim,dia.,lower,diameter,
dim,diam,lower,diameter,
dim,diam.,lower,diameter,
dim,diameter,lower,diameter,
dim,diameter at breast height,lower,dbh,
dim,diameter breast height,lower,dbh,
dim,diameters,lower,diameter,
dim,height,lower,height,
dim,high,lower,height,
dim,in dia,lower,diameter,
dim,in diam,lower,diameter,
dim,in diameter,lower,diameter,
dim,in height,lower,height,
dim,length,lower,length,
dim,long,lower,length,
dim,radius,lower,radius,
dim,tall,lower,height,
dim,thick,lower,thickness,
dim,thickness,lower,thickness,
dim,wide,lower,width,
dim,width,lower,width,
count_suffix,- carpellate,lower,carpellate,female_flower_part
count_suffix,-carpellate,lower,carpellate,female_flower_part
female_flower_part,apocarpus,lower,apocarpus,
female_flower_part,carpellate,lower,carpellate,
female_flower_part,compound pistil,lower,compound pistil,
female_flower_part,funicle,lower,funicle,
female_flower_part,funicles,lower,funicle,
female_flower_part,funiculus,lower,funiculus,
female_flower_part,gynoecia,lower,carpel,
female_flower_part,gynoecium,lower,carpel,
female_flower_part,locule,lower,locule,
female_flower_part,loculus,lower,loculus,
female_flower_part,multicarpellate,lower,multicarpellate,
female_flower_part,ovaries,lower,ovary,
female_flower_part,ovary,lower,ovary,
female_flower_part,ovule,lower,ovary,
female_flower_part,ovules,lower,ovary,
female_flower_part,pistil,lower,pistil,
female_flower_part,pistillode,lower,pistil,
female_flower_part,pistillodes,lower,pistil,
female_flower_part,pistils,lower,carpel,
female_flower_part,placenta,lower,placenta,
female_flower_part,seed-funicle,lower,seed-funicle,
female_flower_part,septa,lower,septum,
female_flower_part,septum,lower,septum,
female_flower_part,stigma,lower,stigma,
female_flower_part,stigmas,lower,stigma,
female_flower_part,unicarpellate,lower,unicarpellate,
flower_location,epigynous,lower,inferior,
flower_location,half-inferior,lower,inferior,
flower_location,hypogynous,lower,superior,
flower_location,inferior,lower,inferior,
flower_location,perigynous,lower,perigynous,
flower_location,superior,lower,superior,
flower_morphology,accrescent,lower,accrescent,
flower_morphology,anthesis,lower,anthesis,
count_suffix,- flowered,lower,flower,flower_part
flower_part,acephalous,lower,corona,
flower_part,achlamydeous,lower,achlamydeous,
flower_part,apetalous,lower,apetalous,
flower_part,bract,lower,bract,
flower_part,calyces,lower,calyx,
flower_part,calyx,lower,calyx,
inflorescence,capitula,lower,capitulum,
inflorescence,capitulum,lower,capitulum,
flower_part,carpel,lower,carpel,
flower_part,carpels,lower,carpel,
flower_part,claw,lower,claw,
flower_part,claws,lower,claw,
flower_part,corolla,lower,corolla,
flower_part,corollas,lower,corolla,
flower_part,corona,lower,corona,
flower_part,coronas,lower,coronas,
flower_part,disk,lower,disk,
flower_part,disks,lower,disk,
flower_part,epicalyces,lower,epicalyx,
flower_part,epicalyx,lower,epicalyx,
flower_part,fl,lower,flower,
flower_part,fl-buds,lower,flower-buds,
flower_part,fld,lower,flowered,
flower_part,floral axis,lower,floral axis,
flower_part,floral bracts,lower,bract,
flower_part,floral envelope,lower,floral envelope,
flower_part,floral leaves,lower,leaf,
flower_part,flower,lower,flower,
flower_part,flowering branch,lower,branch,
flower_part,flowering branches,lower,branch,
flower_part,flowering stem,lower,flowering stem,
flower_part,flowering stems,lower,flowering stem,
flower_part,flowers,lower,flower,
flower_part,fls,lower,flower,
flower_part,hypanthia,lower,hypanthium,
flower_part,hypanthium,lower,hypanthium,
flower_part,keel,lower,keel,
flower_part,keels,lower,keel,
flower_part,nectar disk,lower,nectar disk,
flower_part,nectaries,lower,nectary,
flower_part,nectary,lower,nectary,
flower_part,pedicel,lower,pedicel,
flower_part,pedicels,lower,pedicel,
flower_part,peduncle,lower,peduncle,
flower_part,perianth,lower,perianth,
flower_part,petal,lower,petal,
flower_part,petals,lower,petal,
flower_part,receptacle,lower,receptacle,
