term_set,label,pattern,attr,replace,extra1,extra2
jobs,col_label,col,lower,collector,,
jobs,col_label,coll,lower,collector,,
jobs,col_label,collected,lower,collector,,
jobs,col_label,collector,lower,collector,,
jobs,det_label,det,lower,determiner,,
jobs,det_label,determiner,lower,determiner,,
jobs,job_label,art,lower,artist,,
jobs,job_label,artist,lower,artist,,
jobs,job_label,ass,lower,assistant,,
jobs,job_label,assist,lower,assistant,,
jobs,job_label,assistant,lower,assistant,,
jobs,job_label,auth,lower,author,,
jobs,job_label,author,lower,author,,
jobs,job_label,authors,lower,author,,
jobs,job_label,cartographer,lower,cartographer,,
jobs,job_label,conservator,lower,conservator,,
jobs,job_label,contributor,lower,contributor,,
jobs,job_label,curator,lower,curator,,
jobs,job_label,curatorial,lower,curator,,
jobs,job_label,dir,lower,director,,
jobs,job_label,director,lower,director,,
jobs,job_label,ecologist,lower,ecologist,,
jobs,job_label,editor,lower,editor,,
jobs,job_label,entomologist,lower,entomologist,,
jobs,job_label,explorer,lower,explorer,,
jobs,job_label,extractor,lower,extractor,,
jobs,job_label,gardener,lower,gardener,,
jobs,job_label,geographer,lower,geographer,,
jobs,job_label,geologist,lower,geologist,,
jobs,job_label,georeferencer,lower,georeferencer,,
jobs,job_label,grower,lower,grower,,
jobs,job_label,horticulturalist,lower,horticulturalist,,
jobs,job_label,illustrator,lower,illustrator,,
jobs,job_label,manager,lower,manager,,
jobs,job_label,naturalist,lower,naturalist,,
jobs,job_label,preparator,lower,preparator,,
jobs,job_label,researcher,lower,researcher,,
jobs,job_label,volunteer,lower,volunteer,,
jobs,job_label,volunteers,lower,volunteer,,
jobs,job_label,writer,lower,writer,,
ranks,higher_rank,kingdom,lower,kingdom,10,
ranks,higher_rank,subkingdom,lower,subkingdom,20,
ranks,higher_rank,infrakingdom,lower,infrakingdom,25,
ranks,higher_rank,superdivision,lower,superdivision,27,
ranks,higher_rank,division,lower,division,30,
ranks,higher_rank,phylum,lower,division,30,
ranks,higher_rank,subdivision,lower,subdivision,40,
ranks,higher_rank,subphylum,lower,subdivision,40,
ranks,higher_rank,infradivision,lower,infradivision,45,
ranks,higher_rank,superclass,lower,superclass,50,
ranks,higher_rank,class,lower,class,60,
ranks,higher_rank,subclass,lower,subclass,70,
ranks,higher_rank,infraclass,lower,infraclass,80,
ranks,higher_rank,superorder,lower,superorder,90,
ranks,higher_rank,order,lower,order,100,
ranks,higher_rank,suborder,lower,suborder,110,
ranks,higher_rank,family,lower,family,140,
ranks,higher_rank,subfamily,lower,subfamily,150,
